areacode,area,FisheryID,id_nm,RunYear,TimeStep,fishery_status,reg_start_date,reg_end_date,days,ereg_url,notes,target_species
5,5,42,42:Ar 5 Sport,1999,2,closed,5/1/1999,7/31/1999,92,,,CHIN
6,6,54,54:Ar 6 Sport,1999,2,closed,5/1/1999,7/31/1999,92,,,CHIN
7,7,36,36:Ar 7 Sport,1999,2,closed,5/1/1999,6/30/1999,61,,,CHIN
81,81,45,45:Ar 8-1 Spt,1999,2,closed,5/1/1999,8/31/1999,123,,,CHIN
82,82,45,45:Ar 8-1 Spt,1999,2,closed,5/1/1999,7/31/1999,92,,,CHIN
9,9,53,53:Ar 9 Sport,1999,2,closed,5/1/1999,7/31/1999,92,,combined rows,CHIN
10,10,56,56:A 10 Sport,1999,2,closed,5/1/1999,6/30/1999,61,,,CHIN
11,11,57,57:A 11 Sport,1999,2,closed,5/1/1999,5/31/1999,31,,,CHIN
12,12,64,64:A 12 Sport,1999,2,closed,5/1/1999,6/30/1999,61,,,CHIN
13,13,67,67:A 13 Sport,1999,2,NS,5/1/1999,6/30/1999,61,,,CHIN
11,11,57,57:A 11 Sport,1999,2,NS,6/1/1999,6/30/1999,30,,,CHIN
7,7,36,36:Ar 7 Sport,1999,3,NS,7/1/1999,9/30/1999,92,,,CHIN
10,10,56,56:A 10 Sport,1999,3,NR,7/1/1999,9/30/1999,92,,,CHIN
11,11,57,57:A 11 Sport,1999,3,NS,7/1/1999,9/30/1999,92,,,CHIN
12,12,64,64:A 12 Sport,1999,3,NS_SOA,7/1/1999,8/31/1999,62,,,CHIN
13,13,67,67:A 13 Sport,1999,3,NS,7/1/1999,9/30/1999,92,,,CHIN
5,5,42,42:Ar 5 Sport,1999,3,NR,8/1/1999,9/30/1999,61,,,CHIN
6,6,54,54:Ar 6 Sport,1999,3,NR,8/1/1999,9/30/1999,61,,,CHIN
82,82,45,45:Ar 8-1 Spt,1999,3,NR,8/1/1999,10/31/1999,92,,,CHIN
9,9,53,53:Ar 9 Sport,1999,3,NR,8/1/1999,9/30/1999,61,,,CHIN
12,12,64,64:A 12 Sport,1999,3,NR_NOA,8/1/1999,8/31/1999,31,,,CHIN
81,81,45,45:Ar 8-1 Spt,1999,3,NR,9/1/1999,10/31/1999,61,,,CHIN
12,12,64,64:A 12 Sport,1999,3,NR,9/1/1999,9/30/1999,30,,,CHIN
5,5,42,42:Ar 5 Sport,1999,4,closed,10/1/1999,10/31/1999,31,,,CHIN
6,6,54,54:Ar 6 Sport,1999,4,closed,10/1/1999,10/31/1999,31,,,CHIN
7,7,36,36:Ar 7 Sport,1999,4,NR,10/1/1999,10/31/1999,31,,,CHIN
9,9,53,53:Ar 9 Sport,1999,4,NR,10/1/1999,10/31/1999,31,,,CHIN
10,10,56,56:A 10 Sport,1999,4,NR,10/1/1999,10/31/1999,31,,,CHIN
11,11,57,57:A 11 Sport,1999,4,NS,10/1/1999,11/30/1999,61,,,CHIN
12,12,64,64:A 12 Sport,1999,4,NR,10/1/1999,10/15/1999,15,,,CHIN
13,13,67,67:A 13 Sport,1999,4,NS,10/1/1999,12/31/1999,92,,,CHIN
12,12,64,64:A 12 Sport,1999,4,NS,10/16/1999,12/31/1999,77,,,CHIN
5,5,42,42:Ar 5 Sport,1999,4,NS,11/1/1999,11/30/1999,30,,,CHIN
6,6,54,54:Ar 6 Sport,1999,4,NS,11/1/1999,11/30/1999,30,,,CHIN
7,7,36,36:Ar 7 Sport,1999,4,NS,11/1/1999,11/30/1999,30,,,CHIN
81,81,45,45:Ar 8-1 Spt,1999,4,NS,11/1/1999,11/30/1999,30,,,CHIN
82,82,45,45:Ar 8-1 Spt,1999,4,closed,11/1/1999,2/15/2000,107,,,CHIN
9,9,53,53:Ar 9 Sport,1999,4,NS,11/1/1999,11/30/1999,30,,,CHIN
10,10,56,56:A 10 Sport,1999,4,NS,11/1/1999,11/30/1999,30,,,CHIN
5,5,42,42:Ar 5 Sport,1999,4,closed,12/1/1999,2/15/2000,77,,,CHIN
6,6,54,54:Ar 6 Sport,1999,4,closed,12/1/1999,2/15/2000,77,,,CHIN
7,7,36,36:Ar 7 Sport,1999,4,closed,12/1/1999,2/15/2000,77,,,CHIN
81,81,45,45:Ar 8-1 Spt,1999,4,closed,12/1/1999,2/15/2000,77,,,CHIN
9,9,53,53:Ar 9 Sport,1999,4,closed,12/1/1999,2/15/2000,77,,,CHIN
10,10,56,56:A 10 Sport,1999,4,closed,12/1/1999,2/15/2000,77,,,CHIN
11,11,57,57:A 11 Sport,1999,4,closed,12/1/1999,2/15/2000,77,,,CHIN
12,12,64,64:A 12 Sport,1999,4,closed,1/1/2000,2/15/2000,46,,,CHIN
13,13,67,67:A 13 Sport,1999,4,C&R,1/1/2000,2/15/2000,46,,,CHIN
5,5,42,42:Ar 5 Sport,1999,4,NS,2/16/2000,4/10/2000,55,,,CHIN
6,6,54,54:Ar 6 Sport,1999,4,NS,2/16/2000,4/10/2000,55,,,CHIN
7,7,36,36:Ar 7 Sport,1999,4,NS,2/16/2000,4/10/2000,55,,,CHIN
81,81,45,45:Ar 8-1 Spt,1999,4,NS,2/16/2000,4/10/2000,55,,,CHIN
82,82,45,45:Ar 8-1 Spt,1999,4,NS,2/16/2000,4/15/2000,60,,,CHIN
9,9,53,53:Ar 9 Sport,1999,4,NS,2/16/2000,4/10/2000,55,,,CHIN
10,10,56,56:A 10 Sport,1999,4,NS,2/16/2000,4/10/2000,55,,,CHIN
11,11,57,57:A 11 Sport,1999,4,NS,2/16/2000,4/10/2000,55,,,CHIN
12,12,64,64:A 12 Sport,1999,4,NS,2/16/2000,4/10/2000,55,,,CHIN
13,13,67,67:A 13 Sport,1999,4,NS,2/16/2000,4/10/2000,55,,,CHIN
5,5,42,42:Ar 5 Sport,1999,4,closed,4/11/2000,7/31/2000,112,,,CHIN
6,6,54,54:Ar 6 Sport,1999,4,closed,4/11/2000,7/31/2000,112,,,CHIN
7,7,36,36:Ar 7 Sport,1999,4,closed,4/11/2000,6/30/2000,81,,,CHIN
81,81,45,45:Ar 8-1 Spt,1999,4,closed,4/11/2000,8/31/2000,143,,,CHIN
9,9,53,53:Ar 9 Sport,1999,4,closed,4/11/2000,8/31/2000,143,,,CHIN
10,10,56,56:A 10 Sport,1999,4,closed,4/11/2000,6/30/2000,81,,,CHIN
11,11,57,57:A 11 Sport,1999,4,closed,4/11/2000,5/31/2000,51,,,CHIN
12,12,64,64:A 12 Sport,1999,4,closed,4/11/2000,6/30/2000,81,,,CHIN
13,13,67,67:A 13 Sport,1999,4,closed,4/11/2000,4/30/2000,20,,,CHIN
82,82,45,45:Ar 8-1 Spt,1999,4,closed,4/16/2000,8/31/2000,138,,,CHIN
13,13,67,67:A 13 Sport,2000,2,NS,5/1/2000,6/30/2000,61,,,CHIN
11,11,57,57:A 11 Sport,2000,2,NS,6/1/2000,6/30/2000,30,,,CHIN
7,7,36,36:Ar 7 Sport,2000,3,NS,7/1/2000,9/30/2000,92,,,CHIN
10,10,56,56:A 10 Sport,2000,3,NR,7/1/2000,9/15/2000,77,,,CHIN
11,11,57,57:A 11 Sport,2000,3,NS,7/1/2000,9/30/2000,92,,,CHIN
12,12,64,64:A 12 Sport,2000,3,NS_SOA,7/1/2000,8/31/2000,62,,,CHIN
13,13,67,67:A 13 Sport,2000,3,NS,7/1/2000,9/30/2000,92,,,CHIN
5,5,42,42:Ar 5 Sport,2000,3,NR,8/1/2000,9/30/2000,61,,,CHIN
6,6,54,54:Ar 6 Sport,2000,3,NR,8/1/2000,9/30/2000,61,,,CHIN
81,81,45,45:Ar 8-1 Spt,2000,3,NR,9/1/2000,10/31/2000,61,,,CHIN
82,82,45,45:Ar 8-1 Spt,2000,3,NR,9/1/2000,10/31/2000,61,,,CHIN
9,9,53,53:Ar 9 Sport,2000,3,NR,9/1/2000,9/15/2000,15,,,CHIN
12,12,64,64:A 12 Sport,2000,3,NR,9/1/2000,9/30/2000,30,,,CHIN
9,9,53,53:Ar 9 Sport,2000,3,closed,9/16/2000,9/30/2000,15,,,CHIN
10,10,56,56:A 10 Sport,2000,3,closed,9/16/2000,9/30/2000,15,,,CHIN
5,5,42,42:Ar 5 Sport,2000,4,closed,10/1/2000,10/31/2000,31,,,CHIN
6,6,54,54:Ar 6 Sport,2000,4,closed,10/1/2000,10/31/2000,31,,,CHIN
7,7,36,36:Ar 7 Sport,2000,4,NR,10/1/2000,10/31/2000,31,,,CHIN
9,9,53,53:Ar 9 Sport,2000,4,NR,10/1/2000,10/31/2000,31,,,CHIN
10,10,56,56:A 10 Sport,2000,4,NR,10/1/2000,10/31/2000,31,,,CHIN
11,11,57,57:A 11 Sport,2000,4,NS,10/1/2000,11/30/2000,61,,,CHIN
12,12,64,64:A 12 Sport,2000,4,NR,10/1/2000,10/15/2000,15,,,CHIN
13,13,67,67:A 13 Sport,2000,4,NS,10/1/2000,12/31/2000,92,,,CHIN
12,12,64,64:A 12 Sport,2000,4,NS,10/16/2000,12/31/2000,77,,,CHIN
