survey_datetime,fishing_method_short_description,catch_area_code,legal_size_status_description,catch_result_type_code,adipose_clip_status_code,count
2010-06-01T07:00:00Z,Kicker angler,11,Legal,K,AD,24
2010-06-01T07:00:00Z,Kicker angler,11,Legal,R,AD,1
2010-06-01T07:00:00Z,Kicker angler,11,Legal,R,UM,3
2010-06-01T07:00:00Z,Kicker angler,11,Sublegal,R,UM,4
2010-06-02T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-06-03T07:00:00Z,Kicker angler,11,Legal,K,AD,6
2010-06-03T07:00:00Z,Kicker angler,11,Legal,R,UM,5
2010-06-04T07:00:00Z,Kicker angler,11,Legal,K,AD,2
2010-06-04T07:00:00Z,Kicker angler,11,Legal,R,UM,2
2010-06-05T07:00:00Z,Kicker angler,11,Legal,K,AD,17
2010-06-05T07:00:00Z,Kicker angler,11,Legal,R,UM,3
2010-06-05T07:00:00Z,Kicker angler,11,Sublegal,R,AD,3
2010-06-06T07:00:00Z,Kicker angler,11,Legal,K,AD,6
2010-06-06T07:00:00Z,Kicker angler,11,Not applicable,K,AD,1
2010-06-07T07:00:00Z,Kicker angler,11,Legal,K,AD,2
2010-06-08T07:00:00Z,Kicker angler,11,Legal,K,AD,5
2010-06-08T07:00:00Z,Kicker angler,11,Legal,K,UM,1
2010-06-08T07:00:00Z,Kicker angler,11,Legal,R,UM,2
2010-06-09T07:00:00Z,Kicker angler,11,Legal,K,AD,9
2010-06-09T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-06-09T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-06-10T07:00:00Z,Kicker angler,11,Legal,K,AD,3
2010-06-10T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-06-11T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-06-12T07:00:00Z,Kicker angler,11,Legal,K,AD,1
2010-06-12T07:00:00Z,Kicker angler,11,Legal,R,UM,2
2010-06-12T07:00:00Z,Kicker angler,11,Sublegal,R,AD,2
2010-06-13T07:00:00Z,Kicker angler,11,Legal,K,AD,5
2010-06-13T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-06-13T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-06-14T07:00:00Z,Kicker angler,11,Legal,K,AD,1
2010-06-15T07:00:00Z,Kicker angler,11,Legal,K,AD,6
2010-06-15T07:00:00Z,Kicker angler,11,Legal,R,UM,2
2010-06-16T07:00:00Z,Kicker angler,11,Legal,K,AD,2
2010-06-16T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-06-16T07:00:00Z,Kicker angler,11,Sublegal,R,UM,2
2010-06-17T07:00:00Z,Kicker angler,11,Legal,K,AD,2
2010-06-18T07:00:00Z,Kicker angler,11,Legal,K,AD,13
2010-06-18T07:00:00Z,Kicker angler,11,Legal,R,UM,5
2010-06-18T07:00:00Z,Kicker angler,11,Sublegal,R,UM,1
2010-06-19T07:00:00Z,Kicker angler,11,Legal,K,AD,8
2010-06-19T07:00:00Z,Kicker angler,11,Legal,R,UM,7
2010-06-20T07:00:00Z,Kicker angler,11,Legal,K,AD,6
2010-06-20T07:00:00Z,Kicker angler,11,Legal,R,UM,3
2010-06-21T07:00:00Z,Kicker angler,11,Legal,K,AD,3
2010-06-21T07:00:00Z,Kicker angler,11,Legal,R,UM,2
2010-06-23T07:00:00Z,Kicker angler,11,Legal,K,AD,6
2010-06-23T07:00:00Z,Kicker angler,11,Legal,R,UM,2
2010-06-23T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-06-24T07:00:00Z,Kicker angler,11,Legal,K,AD,4
2010-06-25T07:00:00Z,Kicker angler,11,Legal,K,AD,2
2010-06-25T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-06-25T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-06-26T07:00:00Z,Kicker angler,11,Legal,K,AD,6
2010-06-26T07:00:00Z,Kicker angler,11,Legal,R,UM,3
2010-06-27T07:00:00Z,Kicker angler,11,Legal,K,AD,2
2010-06-27T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-06-27T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-06-27T07:00:00Z,Kicker angler,11,Sublegal,R,UM,1
2010-06-28T07:00:00Z,Kicker angler,11,Legal,K,AD,1
2010-06-28T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-06-29T07:00:00Z,Kicker angler,11,Legal,K,AD,4
2010-06-29T07:00:00Z,Kicker angler,11,Sublegal,R,AD,2
2010-06-29T07:00:00Z,Kicker angler,11,Sublegal,R,UM,1
2010-06-30T07:00:00Z,Kicker angler,11,Legal,K,AD,12
2010-06-30T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-06-30T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-06-30T07:00:00Z,Kicker angler,11,Sublegal,R,UM,1
2010-07-01T07:00:00Z,Kicker angler,11,Legal,K,AD,1
2010-07-01T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-07-01T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-07-01T07:00:00Z,Kicker angler,11,Sublegal,R,UM,1
2010-07-02T07:00:00Z,Kicker angler,10,Legal,K,AD,1
2010-07-02T07:00:00Z,Kicker angler,10,Legal,K,UM,1
2010-07-02T07:00:00Z,Kicker angler,11,Legal,K,AD,7
2010-07-02T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-07-02T07:00:00Z,Kicker angler,11,Not applicable,R,UM,3
2010-07-02T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-07-03T07:00:00Z,Kicker angler,11,Legal,K,AD,2
2010-07-03T07:00:00Z,Kicker angler,11,Legal,R,UM,2
2010-07-03T07:00:00Z,Kicker angler,11,Sublegal,R,UM,1
2010-07-04T07:00:00Z,Kicker angler,11,Legal,K,AD,4
2010-07-04T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-07-05T07:00:00Z,Kicker angler,11,Legal,K,AD,6
2010-07-05T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-07-06T07:00:00Z,Kicker angler,11,Legal,K,AD,2
2010-07-06T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-07-07T07:00:00Z,Kicker angler,11,Legal,K,AD,2
2010-07-07T07:00:00Z,Kicker angler,11,Not applicable,R,AD,1
2010-07-08T07:00:00Z,Kicker angler,11,Legal,K,AD,10
2010-07-08T07:00:00Z,Kicker angler,11,Legal,R,UM,4
2010-07-09T07:00:00Z,Kicker angler,11,Legal,K,AD,8
2010-07-10T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-07-10T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-07-10T07:00:00Z,Kicker angler,11,Sublegal,R,UM,2
2010-07-11T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-07-11T07:00:00Z,Kicker angler,11,Sublegal,R,UM,1
2010-07-14T07:00:00Z,Kicker angler,11,Legal,K,AD,1
2010-07-14T07:00:00Z,Kicker angler,11,Sublegal,R,AD,2
2010-07-15T07:00:00Z,Kicker angler,11,Legal,K,AD,4
2010-07-15T07:00:00Z,Kicker angler,11,Legal,R,UM,3
2010-07-16T07:00:00Z,Charter angler,10,Legal,K,AD,13
2010-07-16T07:00:00Z,Charter angler,10,Legal,R,UM,4
2010-07-16T07:00:00Z,Charter angler,10,Sublegal,R,AD,10
2010-07-16T07:00:00Z,Charter angler,10,Sublegal,R,UM,2
2010-07-16T07:00:00Z,Kicker angler,10,Legal,K,AD,2
2010-07-16T07:00:00Z,Kicker angler,11,Legal,K,AD,9
2010-07-16T07:00:00Z,Kicker angler,11,Legal,K,UM,1
2010-07-16T07:00:00Z,Kicker angler,11,Legal,R,AD,1
2010-07-16T07:00:00Z,Kicker angler,11,Legal,R,UM,3
2010-07-16T07:00:00Z,Kicker angler,11,Sublegal,R,AD,3
2010-07-16T07:00:00Z,Kicker angler,11,Sublegal,R,UM,2
2010-07-17T07:00:00Z,Charter angler,10,Legal,K,AD,11
2010-07-17T07:00:00Z,Charter angler,10,Legal,R,UM,4
2010-07-17T07:00:00Z,Charter angler,10,Sublegal,R,AD,3
2010-07-17T07:00:00Z,Charter angler,10,Sublegal,R,UM,2
2010-07-17T07:00:00Z,Kicker angler,10,Legal,K,AD,4
2010-07-17T07:00:00Z,Kicker angler,10,Sublegal,R,AD,1
2010-07-17T07:00:00Z,Kicker angler,11,Legal,K,AD,5
2010-07-17T07:00:00Z,Kicker angler,11,Legal,K,UM,1
2010-07-17T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-07-17T07:00:00Z,Kicker angler,11,Sublegal,R,UM,1
2010-07-18T07:00:00Z,Charter angler,10,Legal,K,AD,2
2010-07-18T07:00:00Z,Charter angler,10,Legal,R,UM,1
2010-07-18T07:00:00Z,Kicker angler,11,Legal,K,AD,2
2010-07-18T07:00:00Z,Kicker angler,11,Sublegal,K,AD,1
2010-07-18T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-07-19T07:00:00Z,Kicker angler,11,Legal,K,AD,5
2010-07-19T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-07-20T07:00:00Z,Charter angler,10,Legal,K,AD,2
2010-07-20T07:00:00Z,Charter angler,10,Legal,R,UM,1
2010-07-20T07:00:00Z,Kicker angler,11,Legal,K,AD,2
2010-07-21T07:00:00Z,Charter angler,10,Legal,K,AD,2
2010-07-21T07:00:00Z,Charter angler,10,Sublegal,R,AD,2
2010-07-21T07:00:00Z,Kicker angler,11,Legal,K,AD,4
2010-07-22T07:00:00Z,Charter angler,10,Legal,K,AD,3
2010-07-22T07:00:00Z,Charter angler,10,Legal,R,UM,1
2010-07-22T07:00:00Z,Charter angler,10,Sublegal,R,AD,1
2010-07-22T07:00:00Z,Charter angler,10,Sublegal,R,UM,1
2010-07-22T07:00:00Z,Kicker angler,10,Legal,K,AD,5
2010-07-22T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-07-23T07:00:00Z,Charter angler,10,Legal,K,AD,6
2010-07-23T07:00:00Z,Charter angler,10,Sublegal,R,AD,2
2010-07-23T07:00:00Z,Kicker angler,11,Legal,K,AD,1
2010-07-23T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-07-24T07:00:00Z,Kicker angler,11,Legal,K,AD,2
2010-07-24T07:00:00Z,Kicker angler,11,Legal,R,UM,3
2010-07-24T07:00:00Z,Kicker angler,11,Sublegal,K,AD,1
2010-07-24T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-07-25T07:00:00Z,Charter angler,10,Legal,K,AD,2
2010-07-25T07:00:00Z,Kicker angler,11,Legal,K,AD,8
2010-07-25T07:00:00Z,Kicker angler,11,Legal,R,UM,2
2010-07-25T07:00:00Z,Kicker angler,11,Sublegal,K,UM,1
2010-07-25T07:00:00Z,Kicker angler,11,Sublegal,R,UM,2
2010-07-26T07:00:00Z,Kicker angler,11,Legal,K,AD,1
2010-07-27T07:00:00Z,Kicker angler,11,Legal,K,AD,3
2010-07-28T07:00:00Z,Kicker angler,11,Legal,K,AD,1
2010-07-28T07:00:00Z,Kicker angler,11,Legal,R,UM,1
2010-07-28T07:00:00Z,Kicker angler,11,Sublegal,R,AD,1
2010-07-28T07:00:00Z,Kicker angler,11,Sublegal,R,UM,2
2010-07-29T07:00:00Z,Kicker angler,10,Legal,K,AD,4
2010-07-29T07:00:00Z,Kicker angler,11,Legal,K,AD,7
2010-07-29T07:00:00Z,Kicker angler,11,Legal,R,UM,2
2010-07-30T07:00:00Z,Charter angler,10,Legal,R,UM,1
2010-07-30T07:00:00Z,Charter angler,10,Sublegal,R,AD,1
2010-07-30T07:00:00Z,Kicker angler,10,Legal,K,AD,2
2010-07-30T07:00:00Z,Kicker angler,10,Sublegal,R,AD,1
2010-07-30T07:00:00Z,Kicker angler,11,Legal,K,AD,2
2010-07-30T07:00:00Z,Kicker angler,11,Legal,R,UM,3
2010-07-30T07:00:00Z,Kicker angler,11,Not applicable,R,UM,1
2010-07-30T07:00:00Z,Kicker angler,11,Sublegal,R,AD,2
2010-07-31T07:00:00Z,Charter angler,10,Legal,K,AD,2
2010-07-31T07:00:00Z,Charter angler,10,Legal,R,UM,1
2010-07-31T07:00:00Z,Kicker angler,11,Legal,K,AD,13
